OPPORTUNITY_ID,SALES_AGENT_NAME,MANAGER_NAME,REGIONAL_OFFICE,PRODUCT_NAME,ACCOUNT_NAME,DEAL_STAGE,ENGAGE_DATE,DEAL_AGE_DAYS,SALES_PRICE,CLOSE_VALUE_AMOUNT,DEAL_SIZE_BAND,PIPELINE_VALUE_ESTIMATE,DEAL_AGE_BAND,PIPELINE_HEALTH_STATUS
HAXMC4IX,James Ascencio,Summer Sewald,West,MG Advanced,,Engaging,2016-11-03,423,3393,,unknown,3393.00,180+ Days,stale_or_review
UP409DSB,Maureen Marcano,Summer Sewald,West,MG Advanced,Ganjaflex,Engaging,2016-11-10,416,3393,,unknown,3393.00,180+ Days,stale_or_review
EG7OFLFR,Kami Bicknell,Summer Sewald,West,GTX Basic,,Engaging,2016-11-14,412,550,,unknown,550.00,180+ Days,stale_or_review
OLVI7L8M,Cassey Cress,Rocco Neubert,East,GTXPro,,Engaging,2016-11-16,410,,,unknown,0.00,180+ Days,stale_or_review
F5U1ACDD,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2016-11-19,407,1096,,unknown,1096.00,180+ Days,stale_or_review
ZZY4516R,Hayden Neloms,Celia Rouche,West,MG Advanced,,Engaging,2016-11-20,406,3393,,unknown,3393.00,180+ Days,stale_or_review
0DRC1U9Q,Maureen Marcano,Summer Sewald,West,GTX Basic,Green-Plus,Engaging,2016-11-20,406,550,,unknown,550.00,180+ Days,stale_or_review
M7I5O9YU,Corliss Cosme,Cara Losch,East,GTX Basic,Cheers,Engaging,2016-11-23,403,550,,unknown,550.00,180+ Days,stale_or_review
GYB4W2AU,Elease Gluck,Celia Rouche,West,MG Advanced,,Engaging,2016-11-23,403,3393,,unknown,3393.00,180+ Days,stale_or_review
VDIU10RV,Markita Hansen,Celia Rouche,West,MG Special,Lexiqvolax,Engaging,2016-11-23,403,55,,unknown,55.00,180+ Days,stale_or_review
579LZ3F9,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,J-Texon,Engaging,2016-11-24,402,1096,,unknown,1096.00,180+ Days,stale_or_review
SU8JNMP4,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,402,1096,,unknown,1096.00,180+ Days,stale_or_review
PFFHM7HR,Markita Hansen,Celia Rouche,West,MG Advanced,Opentech,Engaging,2016-11-27,399,3393,,unknown,3393.00,180+ Days,stale_or_review
CNM0H9FR,Zane Levy,Summer Sewald,West,GTX Basic,,Engaging,2016-12-02,394,550,,unknown,550.00,180+ Days,stale_or_review
UAE5ZC7O,Daniell Hammack,Rocco Neubert,East,GTX Plus Pro,,Engaging,2016-12-05,391,5482,,unknown,5482.00,180+ Days,stale_or_review
JUCNIG4H,James Ascencio,Summer Sewald,West,GTX Basic,,Engaging,2016-12-05,391,550,,unknown,550.00,180+ Days,stale_or_review
ICMXZOVL,Daniell Hammack,Rocco Neubert,East,GTXPro,Stanredtax,Engaging,2016-12-08,388,,,unknown,0.00,180+ Days,stale_or_review
IBEUTCSW,James Ascencio,Summer Sewald,West,MG Advanced,,Engaging,2016-12-08,388,3393,,unknown,3393.00,180+ Days,stale_or_review
O3KC8QI8,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2016-12-08,388,1096,,unknown,1096.00,180+ Days,stale_or_review
WALNFJ70,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,,Engaging,2016-12-08,388,5482,,unknown,5482.00,180+ Days,stale_or_review
MNVMY83P,Cassey Cress,Rocco Neubert,East,GTXPro,Plussunin,Engaging,2016-12-10,386,,,unknown,0.00,180+ Days,stale_or_review
ZOBJHMAF,Cassey Cress,Rocco Neubert,East,MG Advanced,,Engaging,2016-12-11,385,3393,,unknown,3393.00,180+ Days,stale_or_review
KD6MB4AP,Elease Gluck,Celia Rouche,West,MG Special,,Engaging,2016-12-11,385,55,,unknown,55.00,180+ Days,stale_or_review
A194RP0I,Rosalina Dieter,Celia Rouche,West,MG Advanced,,Engaging,2016-12-12,384,3393,,unknown,3393.00,180+ Days,stale_or_review
KV2OFRJT,Kami Bicknell,Summer Sewald,West,GTXPro,,Engaging,2016-12-13,383,,,unknown,0.00,180+ Days,stale_or_review
ERFRHR3Z,Hayden Neloms,Celia Rouche,West,MG Advanced,,Engaging,2016-12-14,382,3393,,unknown,3393.00,180+ Days,stale_or_review
J53D8EOL,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Hottechi,Engaging,2016-12-14,382,1096,,unknown,1096.00,180+ Days,stale_or_review
J32XDDAW,Markita Hansen,Celia Rouche,West,GTX Basic,,Engaging,2016-12-14,382,550,,unknown,550.00,180+ Days,stale_or_review
1ZDDZD8B,Markita Hansen,Celia Rouche,West,MG Special,,Engaging,2016-12-15,381,55,,unknown,55.00,180+ Days,stale_or_review
EZVKSQ9C,Boris Faz,Rocco Neubert,East,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,2016-12-16,380,5482,,unknown,5482.00,180+ Days,stale_or_review
RJYG004O,Daniell Hammack,Rocco Neubert,East,GTX Basic,Domzoom,Engaging,2016-12-16,380,550,,unknown,550.00,180+ Days,stale_or_review
PYOFK7ZD,Cassey Cress,Rocco Neubert,East,GTX Basic,,Engaging,2016-12-17,379,550,,unknown,550.00,180+ Days,stale_or_review
DWUXMAGZ,Corliss Cosme,Cara Losch,East,GTX Plus Pro,,Engaging,2016-12-17,379,5482,,unknown,5482.00,180+ Days,stale_or_review
6SN2RQJX,Vicki Laflamme,Celia Rouche,West,MG Special,,Engaging,2016-12-17,379,55,,unknown,55.00,180+ Days,stale_or_review
NKPH3EFG,Cassey Cress,Rocco Neubert,East,MG Advanced,,Engaging,2016-12-18,378,3393,,unknown,3393.00,180+ Days,stale_or_review
N07K7DR7,Rosie Papadopoulos,Cara Losch,East,MG Special,Plexzap,Engaging,2016-12-18,378,55,,unknown,55.00,180+ Days,stale_or_review
125VIRMX,Elease Gluck,Celia Rouche,West,GTK 500,Warephase,Engaging,2016-12-19,377,26768,,unknown,26768.00,180+ Days,stale_or_review
3ECHUPQY,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,,Engaging,2016-12-20,376,1096,,unknown,1096.00,180+ Days,stale_or_review
K5CWSFCW,Elease Gluck,Celia Rouche,West,GTXPro,Blackzim,Engaging,2016-12-21,375,,,unknown,0.00,180+ Days,stale_or_review
4H2QMS78,Vicki Laflamme,Celia Rouche,West,GTX Basic,,Engaging,2016-12-21,375,550,,unknown,550.00,180+ Days,stale_or_review
SQLYCFGV,Zane Levy,Summer Sewald,West,GTXPro,Opentech,Engaging,2016-12-22,374,,,unknown,0.00,180+ Days,stale_or_review
EUG019AS,Corliss Cosme,Cara Losch,East,GTX Basic,,Engaging,2016-12-23,373,550,,unknown,550.00,180+ Days,stale_or_review
IE7VQ5BA,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,Finhigh,Engaging,2016-12-23,373,1096,,unknown,1096.00,180+ Days,stale_or_review
AI76U58A,Maureen Marcano,Summer Sewald,West,GTX Basic,Treequote,Engaging,2016-12-25,371,550,,unknown,550.00,180+ Days,stale_or_review
KFPM2LJW,Rosalina Dieter,Celia Rouche,West,GTX Basic,,Engaging,2016-12-25,371,550,,unknown,550.00,180+ Days,stale_or_review
B00UMAV4,Kami Bicknell,Summer Sewald,West,MG Advanced,Gogozoom,Engaging,2016-12-26,370,3393,,unknown,3393.00,180+ Days,stale_or_review
C8TV7R8A,Kary Hendrixson,Summer Sewald,West,GTXPro,,Engaging,2016-12-26,370,,,unknown,0.00,180+ Days,stale_or_review
2VCDVCIZ,Kary Hendrixson,Summer Sewald,West,GTX Basic,,Engaging,2016-12-27,369,550,,unknown,550.00,180+ Days,stale_or_review
0U3WVJO0,Corliss Cosme,Cara Losch,East,GTXPro,,Engaging,2016-12-28,368,,,unknown,0.00,180+ Days,stale_or_review
PMMW9JX3,Kary Hendrixson,Summer Sewald,West,GTX Basic,,Engaging,2016-12-28,368,550,,unknown,550.00,180+ Days,stale_or_review
2HT2R2GY,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,,Engaging,2016-12-29,367,5482,,unknown,5482.00,180+ Days,stale_or_review
13GM5I6M,Kami Bicknell,Summer Sewald,West,GTXPro,,Engaging,2016-12-29,367,,,unknown,0.00,180+ Days,stale_or_review
9IA34L8S,Vicki Laflamme,Celia Rouche,West,GTX Basic,,Engaging,2016-12-29,367,550,,unknown,550.00,180+ Days,stale_or_review
5T8Q2YID,Elease Gluck,Celia Rouche,West,MG Special,,Engaging,2017-01-01,364,55,,unknown,55.00,180+ Days,stale_or_review
BTT6YAVZ,Zane Levy,Summer Sewald,West,GTX Plus Basic,Green-Plus,Engaging,2017-01-01,364,1096,,unknown,1096.00,180+ Days,stale_or_review
O7UUAK3Y,Corliss Cosme,Cara Losch,East,GTX Plus Basic,dambase,Engaging,2017-01-02,363,1096,,unknown,1096.00,180+ Days,stale_or_review
TLOHEQ18,Corliss Cosme,Cara Losch,East,GTX Plus Basic,,Engaging,2017-01-02,363,1096,,unknown,1096.00,180+ Days,stale_or_review
EWDOBEM6,Hayden Neloms,Celia Rouche,West,MG Special,,Engaging,2017-01-03,362,55,,unknown,55.00,180+ Days,stale_or_review
QM6VR1H5,Daniell Hammack,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-01-04,361,5482,,unknown,5482.00,180+ Days,stale_or_review
QR2BDRAI,James Ascencio,Summer Sewald,West,MG Advanced,,Engaging,2017-01-04,361,3393,,unknown,3393.00,180+ Days,stale_or_review
Z75ND4JF,Kary Hendrixson,Summer Sewald,West,GTX Basic,,Engaging,2017-01-04,361,550,,unknown,550.00,180+ Days,stale_or_review
CGWJ1WHI,Wilburn Farren,Cara Losch,East,MG Special,,Engaging,2017-01-04,361,55,,unknown,55.00,180+ Days,stale_or_review
M16D8PYH,Daniell Hammack,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-01-05,360,5482,,unknown,5482.00,180+ Days,stale_or_review
